epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
43,66261.9,0.70006,0.63005,1.10492,0.91195,0.83984,0.90221,0.80682,0.47871,0.47224,0.9352,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
44,67847,0.69439,0.61817,1.09815,0.91595,0.83734,0.90344,0.80899,0.47319,0.46511,0.9314,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743
45,69429,0.68858,0.62118,1.09991,0.91094,0.83948,0.90384,0.80975,0.47586,0.46398,0.93252,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
46,70995.1,0.68144,0.61046,1.09449,0.91531,0.84014,0.9038,0.8095,0.47035,0.46162,0.92845,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
47,72572.6,0.68343,0.61091,1.0967,0.91628,0.8441,0.90908,0.81291,0.4697,0.45395,0.92703,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
48,74145.5,0.66964,0.60446,1.08534,0.91584,0.84225,0.90688,0.81141,0.46281,0.45843,0.92701,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347
49,75735.6,0.66306,0.59937,1.08525,0.91674,0.83845,0.90868,0.81513,0.45733,0.45225,0.92502,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
50,77296.2,0.6635,0.60105,1.08584,0.91452,0.84292,0.90946,0.81659,0.46435,0.44805,0.92652,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149
51,78864.6,0.65136,0.58956,1.08129,0.90838,0.84595,0.908,0.81685,0.45252,0.44474,0.92257,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
52,80452.5,0.65099,0.58125,1.07702,0.92852,0.8387,0.91033,0.81858,0.45546,0.44547,0.92122,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951
53,82024.8,0.64973,0.5807,1.07493,0.9258,0.83741,0.90832,0.81927,0.45108,0.44574,0.9214,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
54,83581.5,0.64224,0.57104,1.07406,0.91795,0.84673,0.90892,0.8184,0.45235,0.44227,0.91905,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753
55,85142.3,0.63791,0.56186,1.06865,0.91423,0.84532,0.90658,0.8193,0.44785,0.43933,0.91958,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
56,86719.6,0.63743,0.56621,1.07046,0.91339,0.84582,0.91037,0.82109,0.44995,0.43981,0.91721,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555
57,1301.06,0.61989,0.54938,1.05798,0.91542,0.84717,0.90732,0.82084,0.44769,0.43771,0.91828,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
58,2603.94,0.62779,0.56038,1.06576,0.91363,0.85186,0.90725,0.82184,0.44435,0.4352,0.91708,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357
59,3898.95,0.61777,0.54772,1.05778,0.91452,0.85283,0.90501,0.82144,0.43804,0.43338,0.91471,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
60,5260.32,0.62131,0.55583,1.06315,0.91569,0.84731,0.90604,0.82311,0.43342,0.43626,0.91371,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159
61,6616.5,0.60888,0.54687,1.05469,0.91396,0.85098,0.90601,0.82351,0.4355,0.43343,0.91514,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
62,7966.16,0.61325,0.54236,1.05539,0.91478,0.85417,0.9047,0.82175,0.43637,0.4311,0.9135,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961
63,9331.81,0.60658,0.53442,1.05344,0.92051,0.85124,0.90832,0.82392,0.43694,0.42557,0.91347,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
64,10688.6,0.60727,0.53312,1.05234,0.9164,0.8551,0.90835,0.82394,0.43626,0.42491,0.91262,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763
65,12047.3,0.60195,0.52391,1.05068,0.91737,0.85511,0.90662,0.82475,0.4317,0.42278,0.91111,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
66,13407.7,0.59185,0.52029,1.04323,0.91464,0.8535,0.90765,0.8258,0.4291,0.42284,0.91066,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565
67,14779.1,0.58929,0.51524,1.04324,0.91867,0.85141,0.90693,0.8256,0.42634,0.42392,0.90935,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
68,16240.3,0.5853,0.51194,1.04399,0.91602,0.85338,0.90755,0.8264,0.42509,0.42332,0.90897,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367
69,17711.5,0.58037,0.5078,1.03695,0.92293,0.84632,0.90812,0.82736,0.42291,0.42162,0.90682,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
70,19175.8,0.57874,0.50287,1.03518,0.92649,0.84255,0.90712,0.82696,0.42011,0.42103,0.90575,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169
71,20654,0.58045,0.50256,1.03335,0.92834,0.83995,0.90669,0.82734,0.41812,0.42011,0.90504,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
72,22121,0.57271,0.49139,1.02965,0.92387,0.8456,0.90669,0.8272,0.41749,0.41977,0.90486,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971
73,23578.4,0.57155,0.49601,1.03225,0.92682,0.84536,0.90695,0.82791,0.41643,0.41935,0.90365,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872
74,25012.2,0.56524,0.48758,1.02877,0.92552,0.84575,0.90792,0.82924,0.4144,0.41854,0.90252,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773
75,26439.2,0.56632,0.4871,1.03137,0.92626,0.84581,0.90618,0.829,0.41401,0.41762,0.90251,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674
76,27870.4,0.56151,0.4805,1.02505,0.91569,0.85374,0.90646,0.82907,0.41426,0.41708,0.90288,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575
77,29317,0.55742,0.4755,1.02284,0.9251,0.84668,0.90698,0.82965,0.41366,0.416,0.9023,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476
78,30748.9,0.54836,0.47354,1.02115,0.92847,0.84417,0.90794,0.82955,0.41304,0.41494,0.90165,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377
79,32186,0.55059,0.46572,1.02251,0.91856,0.85329,0.90624,0.82938,0.4126,0.41458,0.90159,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278
80,33639.4,0.5419,0.46197,1.02006,0.92147,0.85416,0.90836,0.83163,0.41187,0.41356,0.90173,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179
81,35065.1,0.54028,0.46274,1.0206,0.92205,0.85174,0.90797,0.83065,0.41172,0.41321,0.9015,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
82,36497.9,0.5358,0.45802,1.01488,0.9278,0.84681,0.90583,0.83,0.41078,0.41224,0.90057,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981
83,37962.5,0.53173,0.45126,1.01096,0.92697,0.84875,0.90757,0.83091,0.40998,0.41154,0.90011,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882
84,39381.2,0.53155,0.45293,1.01152,0.92647,0.84984,0.90906,0.83169,0.40939,0.41128,0.89983,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783
85,40811.8,0.52649,0.44554,1.00709,0.92625,0.8501,0.90631,0.83085,0.40882,0.41074,0.89966,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684
86,42259.5,0.52302,0.43987,1.00407,0.92674,0.84976,0.90898,0.83165,0.40803,0.41067,0.89948,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585
87,43696.8,0.5198,0.43541,1.00638,0.92118,0.85406,0.90913,0.83204,0.40709,0.40999,0.89956,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486
88,45116.9,0.51415,0.43142,1.00163,0.91923,0.85527,0.90945,0.83221,0.40627,0.40957,0.89915,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387
89,46532.2,0.51907,0.42836,1.00274,0.9203,0.85541,0.90837,0.83158,0.40603,0.40928,0.89932,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288
90,47957.4,0.51158,0.43021,0.99943,0.92018,0.85665,0.91085,0.83343,0.40549,0.40899,0.89941,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189
91,49687.6,0.40178,0.31046,0.91087,0.91995,0.85438,0.90782,0.83124,0.40488,0.4088,0.89949,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
92,51311.9,0.39344,0.29637,0.90248,0.92421,0.85154,0.90735,0.83165,0.40403,0.40911,0.89916,0.002973,0.000991,0.002973,0.000991,0.002973,0.000991,0.002973,0.000991
93,52869.9,0.38536,0.29223,0.9012,0.92507,0.85206,0.91111,0.83387,0.40336,0.40888,0.89894,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892
94,54458.7,0.38132,0.28474,0.89695,0.93139,0.84489,0.90773,0.83205,0.40279,0.4089,0.89877,0.002379,0.000793,0.002379,0.000793,0.002379,0.000793,0.002379,0.000793
95,56029.8,0.37954,0.28323,0.89703,0.92211,0.85254,0.90672,0.83182,0.40241,0.40861,0.89897,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694
96,57605.6,0.37188,0.27875,0.89297,0.9225,0.85175,0.90789,0.8321,0.40194,0.40866,0.89898,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595
97,59139.6,0.36548,0.27288,0.88754,0.9235,0.85216,0.90867,0.83291,0.40133,0.40848,0.89893,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496
98,60694.1,0.36528,0.27003,0.89069,0.92521,0.85291,0.90979,0.8342,0.40078,0.40851,0.89886,0.001191,0.000397,0.001191,0.000397,0.001191,0.000397,0.001191,0.000397
99,62219.4,0.35608,0.26651,0.88267,0.92566,0.85104,0.90941,0.83302,0.4003,0.40871,0.89898,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298
100,63757.1,0.3588,0.26783,0.88691,0.92655,0.85162,0.90974,0.83356,0.39981,0.40876,0.89895,0.000597,0.000199,0.000597,0.000199,0.000597,0.000199,0.000597,0.000199
