epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
14,1887.31,0.94106,0.94312,1.15808,0.81767,0.69192,0.76784,0.57387,0.89632,0.94451,1.1016,0.00108913,0.00108913,0.00108913
15,2015.02,0.95005,0.92863,1.16667,0.7872,0.69678,0.78851,0.59644,0.84743,0.88958,1.0776,0.00107675,0.00107675,0.00107675
16,2143.95,0.93234,0.91503,1.1467,0.78489,0.67941,0.75645,0.58401,0.83995,0.95948,1.08451,0.00106437,0.00106437,0.00106437
17,2272.78,0.88068,0.90022,1.12217,0.86185,0.723,0.80585,0.63275,0.79689,0.78831,1.05753,0.001052,0.001052,0.001052
18,2395.99,0.86115,0.86827,1.13809,0.78602,0.74251,0.80384,0.64141,0.80501,0.77697,1.038,0.00103962,0.00103962,0.00103962
19,2517.07,0.83494,0.81589,1.09662,0.81196,0.70271,0.79151,0.62382,0.83631,0.79818,1.06829,0.00102725,0.00102725,0.00102725
20,2636.24,0.8676,0.83559,1.12415,0.82104,0.70694,0.77851,0.60197,0.81416,0.86036,1.06485,0.00101488,0.00101488,0.00101488
21,2764.37,0.83682,0.79667,1.10094,0.79938,0.7012,0.80459,0.63731,0.80174,0.77504,1.03701,0.0010025,0.0010025,0.0010025
22,2890.76,0.8065,0.77923,1.06802,0.84676,0.72433,0.81859,0.65726,0.74325,0.77388,1.0382,0.000990125,0.000990125,0.000990125
23,3010.05,0.82226,0.78331,1.10493,0.878,0.74298,0.81764,0.63693,0.83016,0.75818,1.05502,0.00097775,0.00097775,0.00097775
24,3129.58,0.80211,0.76526,1.07797,0.83318,0.69813,0.81275,0.64703,0.78035,0.77196,1.02489,0.000965375,0.000965375,0.000965375
25,3246.65,0.78731,0.75783,1.08391,0.84243,0.74911,0.81948,0.6664,0.75224,0.74394,1.02553,0.000953,0.000953,0.000953
26,3362.11,0.77466,0.71451,1.07037,0.8497,0.74365,0.83385,0.66524,0.75225,0.73034,1.02894,0.000940625,0.000940625,0.000940625
27,3479.04,0.79258,0.73438,1.08327,0.85154,0.75693,0.82989,0.67667,0.72115,0.69111,1.00507,0.00092825,0.00092825,0.00092825
28,3594.75,0.72241,0.67749,1.04045,0.89345,0.73989,0.84139,0.69626,0.70101,0.64968,1.00108,0.000915875,0.000915875,0.000915875
29,3708.91,0.73962,0.68808,1.04949,0.79936,0.78355,0.82863,0.67134,0.71512,0.6723,1.0021,0.0009035,0.0009035,0.0009035
30,3821.48,0.72171,0.67726,1.04336,0.87441,0.75494,0.83094,0.6732,0.69814,0.68468,1.01088,0.000891125,0.000891125,0.000891125
31,3934.34,0.7247,0.70427,1.05127,0.86556,0.75618,0.83627,0.68728,0.68956,0.64703,0.98767,0.00087875,0.00087875,0.00087875
32,4052.82,0.71629,0.65691,1.03165,0.89623,0.73904,0.83353,0.68284,0.71171,0.68385,0.99113,0.000866375,0.000866375,0.000866375
33,4168.2,0.72199,0.65109,1.03081,0.91282,0.74041,0.84278,0.7005,0.67207,0.61912,0.98586,0.000854,0.000854,0.000854
34,4281.69,0.71087,0.63035,1.02841,0.84013,0.74515,0.8211,0.67932,0.68913,0.67476,1.00233,0.000841625,0.000841625,0.000841625
35,4401.36,0.68713,0.61441,1.02203,0.86533,0.76916,0.83702,0.70355,0.65641,0.62505,0.98156,0.00082925,0.00082925,0.00082925
36,4517.02,0.69412,0.62194,1.03393,0.87246,0.75174,0.83579,0.69364,0.694,0.63872,0.98913,0.000816875,0.000816875,0.000816875
37,4632.08,0.67646,0.61145,1.01551,0.80134,0.79232,0.83032,0.6856,0.6836,0.65192,0.9919,0.0008045,0.0008045,0.0008045
38,110.373,0.68595,0.61581,1.0145,0.8534,0.77078,0.84444,0.70389,0.65405,0.63255,0.97607,0.000792125,0.000792125,0.000792125
39,217.051,0.63915,0.5829,1.00561,0.84775,0.77027,0.84078,0.7038,0.64528,0.64508,0.98445,0.00077975,0.00077975,0.00077975
40,333.224,0.64085,0.57899,1.0036,0.85451,0.78099,0.8477,0.70632,0.6534,0.61731,0.97653,0.000767375,0.000767375,0.000767375
41,443.203,0.63645,0.58768,0.99738,0.87718,0.75603,0.83898,0.69238,0.64492,0.63545,0.95999,0.000755,0.000755,0.000755
